figure_file_png,figure_file_pdf,caption_draft,article_purpose,displayed_in_notebook
/kaggle/working/outputs/full_run/figures/core_article/01_architecture_overview.png,/kaggle/working/outputs/full_run/figures/core_article/01_architecture_overview.pdf,"Overview of the proposed CeNN-based functional-emulation framework. A tuned QELM reference model provides prediction targets and observable-level features, while the CeNN produces forecasting and emulation outputs. The framework is evaluated as a classical functional emulator, not as a quantum-state simulator.",architecture scope and functional-emulation boundary,True
/kaggle/working/outputs/full_run/figures/core_article/02_experimental_coverage_matrix.png,/kaggle/working/outputs/full_run/figures/core_article/02_experimental_coverage_matrix.pdf,Experimental coverage matrix. The revised benchmark evaluates ten models on six real datasets using the same leakage-safe chronological protocol.,"benchmark coverage, baselines, and reproducibility",True
/kaggle/working/outputs/full_run/figures/core_article/03_benchmark_mase_heatmap.png,/kaggle/working/outputs/full_run/figures/core_article/03_benchmark_mase_heatmap.pdf,Forecasting benchmark across six real datasets. MASE is used as the primary scale-free forecasting metric; lower values indicate better performance.,forecasting performance across datasets and baselines,True
/kaggle/working/outputs/full_run/figures/core_article/04_rank_summary_mase.png,/kaggle/working/outputs/full_run/figures/core_article/04_rank_summary_mase.pdf,Ranking summary based on MASE. This figure identifies dataset-specific strengths without implying universal superiority of any single model.,dataset-specific ranking and cautious interpretation,True
/kaggle/working/outputs/full_run/figures/core_article/05_emulation_fidelity_qelm_pearson.png,/kaggle/working/outputs/full_run/figures/core_article/05_emulation_fidelity_qelm_pearson.pdf,Functional-emulation fidelity measured by Pearson correlation between CeNN outputs and QELM teacher outputs. Higher values indicate stronger functional alignment.,functional-emulation fidelity against QELM teacher,True
/kaggle/working/outputs/full_run/figures/core_article/06_forecasting_emulation_tradeoff.png,/kaggle/working/outputs/full_run/figures/core_article/06_forecasting_emulation_tradeoff.pdf,Forecasting--emulation trade-off. The figure separates direct forecasting accuracy from QELM functional alignment and helps interpret CeNN_NS and CeNN_Emulator as different operating points.,forecasting--emulation trade-off,True
/kaggle/working/outputs/full_run/figures/core_article/07_accuracy_efficiency_tradeoff.png,/kaggle/working/outputs/full_run/figures/core_article/07_accuracy_efficiency_tradeoff.pdf,"Accuracy--efficiency trade-off. Bubble size is proportional to parameter count, while the axes summarize mean forecasting error and inference latency.","accuracy, latency, and model-size trade-off",True
/kaggle/working/outputs/full_run/figures/core_article/08_statistical_comparison_delta_mase.png,/kaggle/working/outputs/full_run/figures/core_article/08_statistical_comparison_delta_mase.pdf,Paired comparison summary. Negative delta means CeNN_NS has lower MASE than the comparator. Statistical p-values and effect sizes are exported in the CSV files; full significance testing requires full mode with multiple seeds.,statistical comparison and run-level reliability,True
/kaggle/working/outputs/full_run/figures/core_article/09_prediction_diagnostics_panel.png,/kaggle/working/outputs/full_run/figures/core_article/09_prediction_diagnostics_panel.pdf,"Forecast diagnostics across the six real datasets. The panel compares the true test sequence with QELM, CeNN_NS, CeNN_Emulator, and the best model by MASE for each dataset.",public article figure,True
/kaggle/working/outputs/full_run/figures/supplementary_diagnostics/metric_heatmap_MASE.png,/kaggle/working/outputs/full_run/figures/supplementary_diagnostics/metric_heatmap_MASE.pdf,Supplementary benchmark heatmap for MASE.,supplementary metric diagnostics,False
